ch1_mean,ch1_std,ch1_rms,ch1_min,ch1_max,ch1_peak_to_peak,ch1_kurtosis,ch1_skewness,ch1_crest_factor,ch2_mean,ch2_std,ch2_rms,ch2_min,ch2_max,ch2_peak_to_peak,ch2_kurtosis,ch2_skewness,ch2_crest_factor,ch3_mean,ch3_std,ch3_rms,ch3_min,ch3_max,ch3_peak_to_peak,ch3_kurtosis,ch3_skewness,ch3_crest_factor,ch4_mean,ch4_std,ch4_rms,ch4_min,ch4_max,ch4_peak_to_peak,ch4_kurtosis,ch4_skewness,ch4_crest_factor,dataset,file_index,timestamp,quantization_error,label
-0.00287421875,0.1603414691155711,0.1603672281096187,-0.991,0.806,1.7970000000000002,2.159949000136546,-0.3113723702897698,6.179566808478001,-0.001775244140625,0.1048560360835896,0.104871062714754,-0.381,0.415,0.796,0.0223192129712095,0.0895942135907603,3.95724034116856,-0.0024497558593749,0.1090191107948284,0.1090466314118213,-0.615,0.85,1.465,0.921219693270702,-0.0028577008711639,7.794830422428433,-0.002341552734375,0.0670088161172301,0.0670497151868717,-0.31,0.273,0.583,0.1312152846981966,-0.0209785600517638,4.623435000900257,2nd_test,874,2004.02.18.12.12.39,0.0919472174003676,1
-0.0022078124999999,0.0772326460679183,0.0772641964605049,-0.378,0.398,0.776,0.3621181761247989,-0.0009911069393442,5.151156916493582,-0.0017516601562499,0.0929543111013255,0.0929708140527176,-0.461,0.488,0.949,0.1785821571261263,0.116370301391233,5.248959095034258,-0.0016664550781249,0.0985840220425296,0.0985981058368231,-0.583,1.018,1.601,1.9472380039603951,0.0716708466190781,10.32474195472309,-0.002743505859375,0.0548411669781146,0.0549097479499029,-0.269,0.227,0.496,0.1900486568389241,-0.0490695438448333,4.8989480017377565,2nd_test,441,2004.02.15.12.02.39,0.0748458756479602,0
-0.00231982421875,0.1579525577679508,0.1579695922949849,-0.735,0.667,1.402,0.7112063302087432,-0.0888377736029929,4.652794182204656,-0.0010034179687499,0.1307099061975076,0.1307137575995015,-0.52,0.498,1.018,-0.0503541333777266,-0.0286776548807674,3.9781581491159335,-0.0011326171875,0.1378524828287709,0.1378571356287007,-0.854,0.608,1.462,0.092557670052416,-0.008605779245052,6.194818977625769,-0.0029955078125,0.0809974595674626,0.0810528316805619,-0.383,0.371,0.754,0.260173677788317,-0.0518231567643523,4.725313009479047,2nd_test,926,2004.02.18.20.52.39,0.1024153792699651,1
-0.002250927734375,0.1085366498895948,0.1085599882319534,-0.508,0.459,0.967,0.8935671532086928,-0.0036356697877891,4.679440448260809,-0.00143828125,0.0968597240948651,0.0968704021086291,-0.396,0.439,0.835,0.1157988124871551,0.1073017573595053,4.531827993272698,-0.00087919921875,0.1018251994695566,0.1018289950764577,-0.857,0.857,1.714,1.7992887763221015,-0.0623324373569306,8.41607048511193,-0.002969873046875,0.0593002466974828,0.0593745686661964,-0.237,0.242,0.479,0.0914674540874664,0.0299626593051667,4.0758190826858405,2nd_test,809,2004.02.18.01.22.39,0.0801014542193757,1
-0.002343896484375,0.0782777702997387,0.0783128544609895,-0.398,0.356,0.754,0.3938119643810864,-0.0259097939342769,5.082179710269354,-0.0011470703124999,0.0932778069465651,0.0932848596454028,-0.469,0.42,0.889,0.1536347197199172,0.1099532465308404,5.027611144806875,-0.00184541015625,0.1033167617108555,0.1033332414524121,-0.82,0.632,1.452,1.75782908656711,-0.0739112201834538,7.935490926893043,-0.0026488769531249,0.0557223218473447,0.0557852462679145,-0.251,0.225,0.476,0.1009076923020511,0.0005989510413227,4.499397543035778,2nd_test,445,2004.02.15.12.42.39,0.0764867907993222,0
-0.00212587890625,0.164114131679758,0.1641279000600598,-0.728,0.825,1.553,2.578314431277734,-0.0965194764196342,5.026567693201938,-0.0012236328125,0.0974451748304664,0.0974528571925933,-0.435,0.415,0.85,0.1322465746223482,0.0950441286752147,4.463696730162131,-0.0020065429687499,0.0992414971767206,0.0992617800392603,-0.627,0.686,1.3130000000000002,1.1257452308590894,-0.0231574777157887,6.9110185181220825,-0.0031830078124999,0.0643428090352512,0.0644214918585502,-0.273,0.305,0.5780000000000001,0.2500726684863159,0.0010100537890009,4.734444844353368,2nd_test,722,2004.02.17.10.52.39,0.0899425031442313,1
-0.0017729003906249,0.0761903431969599,0.0762109675326696,-0.361,0.32,0.681,0.4421486925018034,0.0020508795778689,4.736851029223739,-0.00200078125,0.0941142756142214,0.0941355405784659,-0.391,0.632,1.023,0.1803936738712015,0.1030104116080064,6.713723595887654,-0.0016524902343749,0.1016959118401997,0.1017093368820403,-0.796,0.75,1.546,2.2838638589885445,-0.0329602080818432,7.826223475582702,-0.003027490234375,0.0549687648890498,0.0550520736262211,-0.264,0.31,0.5740000000000001,0.1386559244687486,-0.0085880365858914,5.631032213230144,2nd_test,148,2004.02.13.11.12.39,0.0756906877434,0
-0.002186083984375,0.0782843555502798,0.0783148727069729,-0.374,0.349,0.723,0.3889919623720543,0.015403101465941,4.775593537572391,-0.001631591796875,0.0912765611385885,0.0912911425335345,-0.391,0.396,0.787,0.1440213568640111,0.1452264535604793,4.337770226177167,-0.0026013671874999,0.098924580539164,0.0989587780143517,-0.857,0.591,1.448,1.9026449767325035,-0.106481913892641,8.660171610719072,-0.0033023925781249,0.0555147759235149,0.0556129134516267,-0.234,0.205,0.439,0.0727319403623072,0.0160119279495523,4.2076558387708,2nd_test,514,2004.02.16.00.12.39,0.0744003615067402,0
-0.002419287109375,0.0773480587756847,0.0773858846721052,-0.339,0.369,0.708,0.468679864414069,0.0201020078995498,4.768311450579598,-0.00057529296875,0.0936006586291603,0.0936024265594247,-0.432,0.452,0.884,0.1185105362048148,0.1191344550333319,4.8289346399392,-0.001638818359375,0.1016470752035288,0.1016602853775596,-0.796,0.925,1.721,1.810123081357004,-0.0104579138135102,9.098931766279344,-0.0029263671875,0.0553452255598567,0.055422537087249,-0.281,0.232,0.513,0.1129960418962392,-0.0261421920027854,5.070139599574175,2nd_test,352,2004.02.14.21.12.39,0.07589458515097,0
-0.00193974609375,0.077760340715668,0.07778453061583,-0.347,0.374,0.721,0.4203109108981144,-0.0141182653667166,4.808153973986681,-0.0016271484375,0.0952940399401693,0.0953079307306388,-0.43,0.466,0.896,0.1450110428849109,0.0941764096724908,4.889414725749623,-0.001552783203125,0.1052906248009039,0.1053020740851794,-0.603,0.642,1.245,1.0177974456419454,0.0227084820045796,6.096746009718532,-0.002844140625,0.0553243942441327,0.055397452417733,-0.254,0.259,0.513,0.175120593671362,-0.0010298189270264,4.675305247654623,2nd_test,89,2004.02.13.01.22.39,0.0775052456382469,0
