round,client_id,participates,dropout_rate,seed
1,1,True,0.0,42
1,2,True,0.0,42
1,3,True,0.0,42
1,4,True,0.0,42
1,5,True,0.0,42
1,6,True,0.0,42
1,7,True,0.0,42
1,8,True,0.0,42
1,9,True,0.0,42
1,10,True,0.0,42
2,1,True,0.0,42
2,2,True,0.0,42
2,3,True,0.0,42
2,4,True,0.0,42
2,5,True,0.0,42
2,6,True,0.0,42
2,7,True,0.0,42
2,8,True,0.0,42
2,9,True,0.0,42
2,10,True,0.0,42
3,1,True,0.0,42
3,2,True,0.0,42
3,3,True,0.0,42
3,4,True,0.0,42
3,5,True,0.0,42
3,6,True,0.0,42
3,7,True,0.0,42
3,8,True,0.0,42
3,9,True,0.0,42
3,10,True,0.0,42
4,1,True,0.0,42
4,2,True,0.0,42
4,3,True,0.0,42
4,4,True,0.0,42
4,5,True,0.0,42
4,6,True,0.0,42
4,7,True,0.0,42
4,8,True,0.0,42
4,9,True,0.0,42
4,10,True,0.0,42
5,1,True,0.0,42
5,2,True,0.0,42
5,3,True,0.0,42
5,4,True,0.0,42
5,5,True,0.0,42
5,6,True,0.0,42
5,7,True,0.0,42
5,8,True,0.0,42
5,9,True,0.0,42
5,10,True,0.0,42
6,1,True,0.0,42
6,2,True,0.0,42
6,3,True,0.0,42
6,4,True,0.0,42
6,5,True,0.0,42
6,6,True,0.0,42
6,7,True,0.0,42
6,8,True,0.0,42
6,9,True,0.0,42
6,10,True,0.0,42
7,1,True,0.0,42
7,2,True,0.0,42
7,3,True,0.0,42
7,4,True,0.0,42
7,5,True,0.0,42
7,6,True,0.0,42
7,7,True,0.0,42
7,8,True,0.0,42
7,9,True,0.0,42
7,10,True,0.0,42
8,1,True,0.0,42
8,2,True,0.0,42
8,3,True,0.0,42
8,4,True,0.0,42
8,5,True,0.0,42
8,6,True,0.0,42
8,7,True,0.0,42
8,8,True,0.0,42
8,9,True,0.0,42
8,10,True,0.0,42
9,1,True,0.0,42
9,2,True,0.0,42
9,3,True,0.0,42
9,4,True,0.0,42
9,5,True,0.0,42
9,6,True,0.0,42
9,7,True,0.0,42
9,8,True,0.0,42
9,9,True,0.0,42
9,10,True,0.0,42
10,1,True,0.0,42
10,2,True,0.0,42
10,3,True,0.0,42
10,4,True,0.0,42
10,5,True,0.0,42
10,6,True,0.0,42
10,7,True,0.0,42
10,8,True,0.0,42
10,9,True,0.0,42
10,10,True,0.0,42
11,1,True,0.0,42
11,2,True,0.0,42
11,3,True,0.0,42
11,4,True,0.0,42
11,5,True,0.0,42
11,6,True,0.0,42
11,7,True,0.0,42
11,8,True,0.0,42
11,9,True,0.0,42
11,10,True,0.0,42
12,1,True,0.0,42
12,2,True,0.0,42
12,3,True,0.0,42
12,4,True,0.0,42
12,5,True,0.0,42
12,6,True,0.0,42
12,7,True,0.0,42
12,8,True,0.0,42
12,9,True,0.0,42
12,10,True,0.0,42
13,1,True,0.0,42
13,2,True,0.0,42
13,3,True,0.0,42
13,4,True,0.0,42
13,5,True,0.0,42
13,6,True,0.0,42
13,7,True,0.0,42
13,8,True,0.0,42
13,9,True,0.0,42
13,10,True,0.0,42
14,1,True,0.0,42
14,2,True,0.0,42
14,3,True,0.0,42
14,4,True,0.0,42
14,5,True,0.0,42
14,6,True,0.0,42
14,7,True,0.0,42
14,8,True,0.0,42
14,9,True,0.0,42
14,10,True,0.0,42
15,1,True,0.0,42
15,2,True,0.0,42
15,3,True,0.0,42
15,4,True,0.0,42
15,5,True,0.0,42
15,6,True,0.0,42
15,7,True,0.0,42
15,8,True,0.0,42
15,9,True,0.0,42
15,10,True,0.0,42
