client_id,data_score,loss_score,stability_score,availability_score,raw_reliability,sample_count,weighted_score,aggregation_weight,round,scenario
1,0.203149800073348,0.4674503379505635,0.9881941559980502,1.0,0.6899480428930169,13,8.96932455760922,0.014747481090992042,1,clean
2,0.3380617018914066,0.46930632043052545,0.9866633114107386,1.0,0.7102986264281533,36,25.57075055141352,0.0420437634759827,1,clean
3,0.410187723187772,0.5061388078300612,0.9863458341239971,1.0,0.7338977831620862,53,38.896582507590566,0.06395427117733872,1,clean
4,0.29814239699997197,0.5136155402218671,0.9867289635860051,1.0,0.7198419358827511,28,20.15557420471703,0.03314005949422149,1,clean
5,0.1868706368604627,0.48272520354321685,0.9876671419728377,1.0,0.6926679164596885,11,7.619347081056573,0.01252783041597711,1,clean
6,0.2581988897471611,0.5170120955033691,0.9869817105684722,1.0,0.7151276655872186,21,15.017680977331592,0.02469226805443891,1,clean
7,0.5828229059350187,0.4618556148226103,0.9862277837418524,1.0,0.7442526253878148,107,79.63503091649618,0.1309369624299375,1,clean
8,0.2702144944592592,0.5271917110115664,0.98692708831336,1.0,0.720473753932613,23,16.5708963404501,0.027246085128478894,1,clean
9,0.7559289460184544,0.4991659026882949,0.9861504590347506,1.0,0.7832500685058341,180,140.98501233105014,0.23180940661819993,1,clean
10,1.0,0.4675837891263774,0.9861437791638218,1.0,0.8088046489015697,315,254.77346440399444,0.4189018721144309,1,clean
1,0.203149800073348,0.48212193032343326,0.9878688349966274,1.0,0.6949692378730233,13,9.034600092349303,0.014824874832125922,2,clean
2,0.3380617018914066,0.47219666642119335,0.9867064381708162,1.0,0.7113253418909143,36,25.607712308072916,0.04201969382416288,2,clean
3,0.410187723187772,0.5083617333714447,0.9863035020993347,1.0,0.7346609908929386,53,38.93703251732575,0.06389177467772898,2,clean
4,0.29814239699997197,0.5272635804816832,0.9868609975928353,1.0,0.7246649618760772,28,20.290618932530162,0.03329487557460935,2,clean
5,0.1868706368604627,0.47994628408597084,0.9880835545162399,1.0,0.6918410390398432,11,7.610251429438275,0.012487661183583446,2,clean
6,0.2581988897471611,0.5105623456265317,0.9870677534224565,1.0,0.71290036812922,21,14.97090773071362,0.02456576173405627,2,clean
7,0.5828229059350187,0.46965975037129043,0.9862137584978359,1.0,0.7469791639944471,107,79.92677054740584,0.13115183372695635,2,clean
8,0.2702144944592592,0.5274135417302052,0.9869825246706793,1.0,0.7205707974091984,23,16.573128340411564,0.027194845451036596,2,clean
9,0.7559289460184544,0.5028658361024403,0.9861496464740499,1.0,0.7845447608045397,180,141.21805694481714,0.23172470245980234,2,clean
10,1.0,0.4719289134526074,0.9861445458502482,1.0,0.8103257107559995,315,255.25259888813983,0.4188439765359361,2,clean
1,0.203149800073348,0.4846963176904772,0.9879979110045454,1.0,0.69591545005426,13,9.04690085070538,0.014830340419079747,3,clean
2,0.3380617018914066,0.47544022219454257,0.9865995668942134,1.0,0.7124231814647756,36,25.64723453273192,0.042042819436750645,3,clean
3,0.410187723187772,0.5069688423297914,0.9863263003449599,1.0,0.7341814584143288,53,38.911617295959424,0.06378676413935007,3,clean
4,0.29814239699997197,0.5146745847491114,0.9866384765043062,1.0,0.720180930988692,28,20.165066067683377,0.033056048617318624,3,clean
5,0.1868706368604627,0.4797018420892466,0.9881901996849966,1.0,0.6917928101500544,11,7.609720911650599,0.012474410129648878,3,clean
6,0.2581988897471611,0.5146828369271373,0.986976683097027,1.0,0.7143106654705317,21,15.000523974881165,0.024589954138240572,3,clean
7,0.5828229059350187,0.47209361025920926,0.9862281572634459,1.0,0.7478360545231821,107,80.01845783398049,0.13117209849770634,3,clean
8,0.2702144944592592,0.5200107425211001,0.9870224452562768,1.0,0.7179937898909708,23,16.51385716749233,0.02707072040110577,3,clean
9,0.7559289460184544,0.5043996480929281,0.9861531960683928,1.0,0.7850828373592305,180,141.31491072466147,0.23165371953592143,3,clean
10,1.0,0.47687253168828797,0.9861499038884257,1.0,0.8120578524518498,315,255.79822352233268,0.4193231246848763,3,clean
1,0.203149800073348,0.49374375839661294,0.9879013672594101,1.0,0.6990482639906103,13,9.087627431877934,0.014850705334934473,4,clean
