scenario,round,client_id,available,sensor_noise_multiplier,stale_update,staleness_rounds,reliability_score,seed
sensor_noise,1,1,True,0.0,False,0,1.0,10042
sensor_noise,1,2,True,0.0,False,0,1.0,10042
sensor_noise,1,3,True,0.0,False,0,1.0,10042
sensor_noise,1,4,True,0.0,False,0,1.0,10042
sensor_noise,1,5,True,0.0,False,0,1.0,10042
sensor_noise,1,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,1,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,1,8,True,0.0,False,0,1.0,10042
sensor_noise,1,9,True,0.0,False,0,1.0,10042
sensor_noise,1,10,True,0.0,False,0,1.0,10042
sensor_noise,2,1,True,0.0,False,0,1.0,10042
sensor_noise,2,2,True,0.0,False,0,1.0,10042
sensor_noise,2,3,True,0.0,False,0,1.0,10042
sensor_noise,2,4,True,0.0,False,0,1.0,10042
sensor_noise,2,5,True,0.0,False,0,1.0,10042
sensor_noise,2,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,2,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,2,8,True,0.0,False,0,1.0,10042
sensor_noise,2,9,True,0.0,False,0,1.0,10042
sensor_noise,2,10,True,0.0,False,0,1.0,10042
sensor_noise,3,1,True,0.0,False,0,1.0,10042
sensor_noise,3,2,True,0.0,False,0,1.0,10042
sensor_noise,3,3,True,0.0,False,0,1.0,10042
sensor_noise,3,4,True,0.0,False,0,1.0,10042
sensor_noise,3,5,True,0.0,False,0,1.0,10042
sensor_noise,3,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,3,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,3,8,True,0.0,False,0,1.0,10042
sensor_noise,3,9,True,0.0,False,0,1.0,10042
sensor_noise,3,10,True,0.0,False,0,1.0,10042
sensor_noise,4,1,True,0.0,False,0,1.0,10042
sensor_noise,4,2,True,0.0,False,0,1.0,10042
sensor_noise,4,3,True,0.0,False,0,1.0,10042
sensor_noise,4,4,True,0.0,False,0,1.0,10042
sensor_noise,4,5,True,0.0,False,0,1.0,10042
sensor_noise,4,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,4,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,4,8,True,0.0,False,0,1.0,10042
sensor_noise,4,9,True,0.0,False,0,1.0,10042
sensor_noise,4,10,True,0.0,False,0,1.0,10042
sensor_noise,5,1,True,0.0,False,0,1.0,10042
sensor_noise,5,2,True,0.0,False,0,1.0,10042
sensor_noise,5,3,True,0.0,False,0,1.0,10042
sensor_noise,5,4,True,0.0,False,0,1.0,10042
sensor_noise,5,5,True,0.0,False,0,1.0,10042
sensor_noise,5,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,5,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,5,8,True,0.0,False,0,1.0,10042
sensor_noise,5,9,True,0.0,False,0,1.0,10042
sensor_noise,5,10,True,0.0,False,0,1.0,10042
sensor_noise,6,1,True,0.0,False,0,1.0,10042
sensor_noise,6,2,True,0.0,False,0,1.0,10042
sensor_noise,6,3,True,0.0,False,0,1.0,10042
sensor_noise,6,4,True,0.0,False,0,1.0,10042
sensor_noise,6,5,True,0.0,False,0,1.0,10042
sensor_noise,6,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,6,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,6,8,True,0.0,False,0,1.0,10042
sensor_noise,6,9,True,0.0,False,0,1.0,10042
sensor_noise,6,10,True,0.0,False,0,1.0,10042
sensor_noise,7,1,True,0.0,False,0,1.0,10042
sensor_noise,7,2,True,0.0,False,0,1.0,10042
sensor_noise,7,3,True,0.0,False,0,1.0,10042
sensor_noise,7,4,True,0.0,False,0,1.0,10042
sensor_noise,7,5,True,0.0,False,0,1.0,10042
sensor_noise,7,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,7,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,7,8,True,0.0,False,0,1.0,10042
sensor_noise,7,9,True,0.0,False,0,1.0,10042
sensor_noise,7,10,True,0.0,False,0,1.0,10042
sensor_noise,8,1,True,0.0,False,0,1.0,10042
sensor_noise,8,2,True,0.0,False,0,1.0,10042
sensor_noise,8,3,True,0.0,False,0,1.0,10042
sensor_noise,8,4,True,0.0,False,0,1.0,10042
sensor_noise,8,5,True,0.0,False,0,1.0,10042
sensor_noise,8,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,8,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,8,8,True,0.0,False,0,1.0,10042
sensor_noise,8,9,True,0.0,False,0,1.0,10042
sensor_noise,8,10,True,0.0,False,0,1.0,10042
sensor_noise,9,1,True,0.0,False,0,1.0,10042
sensor_noise,9,2,True,0.0,False,0,1.0,10042
sensor_noise,9,3,True,0.0,False,0,1.0,10042
sensor_noise,9,4,True,0.0,False,0,1.0,10042
sensor_noise,9,5,True,0.0,False,0,1.0,10042
sensor_noise,9,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,9,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,9,8,True,0.0,False,0,1.0,10042
sensor_noise,9,9,True,0.0,False,0,1.0,10042
sensor_noise,9,10,True,0.0,False,0,1.0,10042
sensor_noise,10,1,True,0.0,False,0,1.0,10042
sensor_noise,10,2,True,0.0,False,0,1.0,10042
sensor_noise,10,3,True,0.0,False,0,1.0,10042
sensor_noise,10,4,True,0.0,False,0,1.0,10042
sensor_noise,10,5,True,0.0,False,0,1.0,10042
sensor_noise,10,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,10,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,10,8,True,0.0,False,0,1.0,10042
sensor_noise,10,9,True,0.0,False,0,1.0,10042
sensor_noise,10,10,True,0.0,False,0,1.0,10042
sensor_noise,11,1,True,0.0,False,0,1.0,10042
sensor_noise,11,2,True,0.0,False,0,1.0,10042
sensor_noise,11,3,True,0.0,False,0,1.0,10042
sensor_noise,11,4,True,0.0,False,0,1.0,10042
sensor_noise,11,5,True,0.0,False,0,1.0,10042
sensor_noise,11,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,11,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,11,8,True,0.0,False,0,1.0,10042
sensor_noise,11,9,True,0.0,False,0,1.0,10042
sensor_noise,11,10,True,0.0,False,0,1.0,10042
sensor_noise,12,1,True,0.0,False,0,1.0,10042
sensor_noise,12,2,True,0.0,False,0,1.0,10042
sensor_noise,12,3,True,0.0,False,0,1.0,10042
sensor_noise,12,4,True,0.0,False,0,1.0,10042
sensor_noise,12,5,True,0.0,False,0,1.0,10042
sensor_noise,12,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,12,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,12,8,True,0.0,False,0,1.0,10042
sensor_noise,12,9,True,0.0,False,0,1.0,10042
sensor_noise,12,10,True,0.0,False,0,1.0,10042
sensor_noise,13,1,True,0.0,False,0,1.0,10042
sensor_noise,13,2,True,0.0,False,0,1.0,10042
sensor_noise,13,3,True,0.0,False,0,1.0,10042
sensor_noise,13,4,True,0.0,False,0,1.0,10042
sensor_noise,13,5,True,0.0,False,0,1.0,10042
sensor_noise,13,6,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,13,7,True,0.5,False,0,0.6666666666666666,10042
sensor_noise,13,8,True,0.0,False,0,1.0,10042
sensor_noise,13,9,True,0.0,False,0,1.0,10042
sensor_noise,13,10,True,0.0,False,0,1.0,10042
sensor_noise,14,1,True,0.0,False,0,1.0,10042
sensor_noise,14,2,True,0.0,False,0,1.0,10042
sensor_noise,14,3,True,0.0,False,0,1.0,10042
sensor_noise,14,4,True,0.0,False,0,1.0,10042
sensor_noise,14,5,True,0.0,False,0,1.0,10042
