ch1_mean,ch1_std,ch1_rms,ch1_min,ch1_max,ch1_peak_to_peak,ch1_kurtosis,ch1_skewness,ch1_crest_factor,ch2_mean,ch2_std,ch2_rms,ch2_min,ch2_max,ch2_peak_to_peak,ch2_kurtosis,ch2_skewness,ch2_crest_factor,ch3_mean,ch3_std,ch3_rms,ch3_min,ch3_max,ch3_peak_to_peak,ch3_kurtosis,ch3_skewness,ch3_crest_factor,ch4_mean,ch4_std,ch4_rms,ch4_min,ch4_max,ch4_peak_to_peak,ch4_kurtosis,ch4_skewness,ch4_crest_factor,dataset,file_index,timestamp
-0.01019599609375,0.07347493104305192,0.07417899856512623,-0.386,0.454,0.8400000000000001,0.6287626426442561,0.08399343541253215,6.120330670078885,-0.012694970703124999,0.09005347464156324,0.09094388696428075,-0.513,0.464,0.9770000000000001,0.5068005370841773,0.12691486043827807,5.640840930802152,-0.014540966796874999,0.10843350938911966,0.10940413919878957,-0.911,1.023,1.934,3.213074668222574,0.20483971640969206,9.350651698212598,-0.0100259765625,0.0531663902091768,0.05410346803954669,-0.264,0.193,0.457,0.06595905114862788,-0.02208000883499786,4.879539326428222,2nd_test,0,2004.02.12.10.32.39
-0.002585009765625,0.07533812128951384,0.07538245681139528,-0.388,0.369,0.757,0.6482910813108549,0.05214190733133261,5.147086157799521,-0.0025609375,0.09338377948549788,0.09341888819652586,-0.481,0.457,0.938,0.25301376937623843,0.07008844936856541,5.148851685999181,-0.002460791015625,0.10978975747066774,0.10981733168262023,-0.681,0.752,1.433,1.3952499379815348,-0.023853576139170513,6.847735129519308,-0.0037836914062500003,0.055973118789277056,0.05610085870694182,-0.229,0.249,0.478,0.10753933160081752,0.0015824146174221686,4.438434735843905,2nd_test,1,2004.02.12.10.42.39
-0.002483984375,0.0761892927992494,0.07622977446919937,-0.4,0.503,0.903,0.5134753088232071,0.03280799811503519,6.5984715748652585,-0.0016954589843749999,0.0937025602830463,0.0937178978891739,-0.503,0.491,0.994,0.3107892284776641,0.09658256297861974,5.367171173530327,-0.0015954589843749998,0.10984946406227844,0.10986104971344769,-0.786,0.933,1.719,2.639947862656676,0.056560666319352165,8.492545833351002,-0.0034853515625,0.05603693397230999,0.0561452192491155,-0.334,0.354,0.688,0.25723641276594833,0.07044906046529774,6.305078236902098,2nd_test,2,2004.02.12.10.52.39
-0.002276611328125,0.07869075089989153,0.07872367646602975,-0.576,0.608,1.184,1.1579527230048088,0.04148596171613033,7.7232165377164055,-0.0023928222656249996,0.09291629369506194,0.09294709910708282,-0.474,0.569,1.043,0.23534074042490039,0.10583404042688352,6.121761792031214,-0.00314794921875,0.1106217530671688,0.11066653439923697,-0.935,1.016,1.951,2.6827791177441718,0.03355008488846847,9.180733864182741,-0.0037407714843749997,0.05668413146164508,0.05680743024340545,-0.525,0.513,1.038,0.8061900787493554,-0.03632709701957426,9.241748794854235,2nd_test,3,2004.02.12.11.02.39
-0.002403857421875,0.07843746411081838,0.07847429073677968,-0.391,0.391,0.782,0.6031769286310373,0.02822394436819329,4.982523528712338,-0.0015590332031250001,0.09533522183796202,0.09534796855424806,-0.486,0.452,0.938,0.22630879489770805,0.09796563331631013,5.097119606889097,-0.0011584960937499995,0.10749935762927618,0.1075055998723148,-0.771,0.745,1.516,1.5783946520336096,-0.002892158471591591,7.171719435160129,-0.002702587890625,0.056776655815982784,0.05684094146786386,-0.212,0.244,0.45599999999999996,0.1389537967943335,0.019007516695884696,4.29268048161478,2nd_test,4,2004.02.12.11.12.39
-0.001623095703125,0.07829782000144782,0.07831464139380724,-0.366,0.439,0.8049999999999999,0.45609362146286436,0.02685297230141105,5.605592928490489,-0.0014525878906250002,0.09239330152210377,0.09240471945595839,-0.386,0.574,0.96,0.18563759722622342,0.06080463418952153,6.211803935700123,-0.000841552734375,0.11051402335158485,0.11051722747318346,-0.781,0.862,1.643,1.8624281531683406,0.07741403699776964,7.799688968865609,-0.002821826171875,0.05549422955454554,0.05556592676089255,-0.242,0.247,0.489,0.149407338377193,0.01274157447274254,4.44517016801372,2nd_test,5,2004.02.12.11.22.39
-0.0016064453124999996,0.07861603186545633,0.07863244325857172,-0.408,0.388,0.796,0.4786149756059883,0.05859457915072469,5.188697986315403,-0.0016959472656250002,0.09390317165909703,0.09391848531980072,-0.457,0.583,1.04,0.25010839555129794,0.0992138544432151,6.207510672777846,-0.00185634765625,0.10737186617198258,0.10738791213109138,-0.718,0.896,1.6139999999999999,1.8220329786922909,0.14561675932802476,8.343583390446073,-0.0029048828125,0.05620405793625485,0.05627907668624504,-0.217,0.239,0.45599999999999996,0.10779375483252895,-0.019774749352839495,4.246693692723044,2nd_test,6,2004.02.12.11.32.39
-0.00202666015625,0.07774646967579023,0.07777288022464836,-0.334,0.415,0.749,0.4719824550317817,0.0825818179550488,5.336050288942996,-0.0017436523437500003,0.09322421104069685,0.09324051612714428,-0.41,0.41,0.82,0.10375044921415588,0.0869128229556518,4.397230056475879,-0.0017033203125000004,0.10621897924323846,0.10623263552958902,-0.776,0.771,1.5470000000000002,1.4448963659987744,0.0014656274776144857,7.304723224875238,-0.002330029296875,0.05545575654680791,0.05550468422307368,-0.227,0.229,0.456,0.20979100466934808,-0.01714885977574289,4.125777908681036,2nd_test,7,2004.02.12.11.42.39
-0.0019162109375,0.07900619543360511,0.07902942984262255,-0.361,0.386,0.747,0.404514320897305,-0.008060293710742156,4.884256418954148,-0.0008009765624999998,0.09585589739527024,0.09585924383650357,-0.613,0.457,1.07,0.4514264068174758,0.03530401451886103,6.394792775948983,-0.0013142089843750002,0.1105786094170331,0.11058641872246056,-0.769,0.967,1.736,2.3845540569234336,0.03416131914349387,8.744292573739473,-0.0025391113281250004,0.05579735616208901,0.05585509861253156,-0.33,0.227,0.557,0.15983731154509462,0.008342651967002453,5.90814461332011,2nd_test,8,2004.02.12.11.52.39
-0.002096630859375,0.07568852631669241,0.07571755989830316,-0.344,0.378,0.722,0.32520331504832,0.04632106694487997,4.992236946128513,-0.00171689453125,0.09472631335134558,0.09474187125009063,-0.466,0.417,0.883,0.19603235889333703,0.08951343846820298,4.918627781427059,-0.001896240234375,0.10975436897591669,0.10977074854590418,-0.664,0.781,1.445,1.4615057334105144,0.006299301331643612,7.11482804242958,-0.0027732910156249998,0.05539022980738145,0.0554596132439803,-0.254,0.291,0.5449999999999999,0.206106647540921,0.029685526458732497,5.247061473627183,2nd_test,9,2004.02.12.12.02.39
