ch1_mean,ch1_std,ch1_rms,ch1_min,ch1_max,ch1_peak_to_peak,ch1_kurtosis,ch1_skewness,ch1_crest_factor,ch2_mean,ch2_std,ch2_rms,ch2_min,ch2_max,ch2_peak_to_peak,ch2_kurtosis,ch2_skewness,ch2_crest_factor,ch3_mean,ch3_std,ch3_rms,ch3_min,ch3_max,ch3_peak_to_peak,ch3_kurtosis,ch3_skewness,ch3_crest_factor,ch4_mean,ch4_std,ch4_rms,ch4_min,ch4_max,ch4_peak_to_peak,ch4_kurtosis,ch4_skewness,ch4_crest_factor,dataset,file_index,timestamp,quantization_error,label
-0.0017819824218749,0.0779258334891341,0.0779462057211775,-0.361,0.388,0.749,0.5248632368505843,0.0329649759572099,4.977792009311429,-0.001885498046875,0.0948430602561719,0.0948618004343193,-0.378,0.417,0.7949999999999999,0.1320935328878878,0.0910304428471702,4.395868495921366,-0.0014565917968749,0.1025740465702236,0.1025843881370509,-0.718,0.637,1.355,1.2515653595283167,0.0466376503610703,6.999115684481787,-0.00285546875,0.0552920089990884,0.0553656929960919,-0.266,0.276,0.542,0.168217665111467,-0.0040182298560237,4.98503649208359,2nd_test,100,2004.02.13.03.12.39,0.0766682674881525,0
-0.0020310546875,0.1117925215891592,0.1118109702417712,-0.527,0.491,1.018,0.7821177360607572,-0.0330659868714664,4.713312109319358,-0.001493603515625,0.0988712692786559,0.0988825502312434,-0.425,0.42,0.845,0.0733068238682541,0.068832283518987,4.298028307338466,-0.001739794921875,0.1029521658607855,0.1029668652615824,-0.706,0.908,1.614,1.470107425020358,0.0669851719936251,8.818370819432548,-0.00291474609375,0.0601798156547543,0.0602503606381841,-0.273,0.242,0.515,0.0638326754322333,0.0039836365076255,4.531093210128488,2nd_test,819,2004.02.18.03.02.39,0.0819383017789663,1
-0.00167470703125,0.1695012422892808,0.1695095153118254,-0.725,0.767,1.492,2.236064581689714,-0.1002138237481717,4.52481973406933,-0.0017140624999999,0.0978433771027507,0.0978583897942583,-0.471,0.588,1.059,0.1945592288838384,0.1275338208203782,6.008682558850883,-0.001279541015625,0.1013148771283058,0.1013229566916322,-0.552,0.781,1.3330000000000002,0.8915626127387712,0.0933834549944071,7.708026152150287,-0.00248515625,0.0646560496792978,0.0647037924832752,-0.261,0.281,0.542,0.2529065793558542,0.0059053246883226,4.342867538534011,2nd_test,714,2004.02.17.09.32.39,0.0914989561525808,1
-0.0018339355468749,0.0766890466348961,0.0767109717925628,-0.332,0.386,0.718,0.358155992917113,-0.0057015413383112,5.03187472371965,-0.0009106933593749,0.0950036162084544,0.0950079810072718,-0.459,0.488,0.947,0.210906030654741,0.1319449266499253,5.136410592258691,-0.0008028320312499,0.1048689262422303,0.1048719992680064,-0.51,0.754,1.264,1.1248418565844922,0.0563055868869588,7.189717038443403,-0.002327294921875,0.0549543645643795,0.0550036224836885,-0.347,0.247,0.594,0.2132932337289288,-0.0214579081912814,6.308675398544799,2nd_test,92,2004.02.13.01.52.39,0.0774940010225592,0
-0.00140625,0.1048311509754793,0.1048405825713795,-0.442,0.603,1.045,0.7773012336510239,-0.0477835702893134,5.751589558210462,-0.0013703125,0.0928862253347265,0.0928963326148091,-0.439,0.444,0.883,0.0885582151681592,0.1045606454112553,4.779521295380394,-0.001530078125,0.0972648756175637,0.0972769097369398,-0.618,0.769,1.387,1.3063793667742711,0.0493232673803778,7.905267571427333,-0.0023548828125,0.0573102076251093,0.0573585684191451,-0.269,0.234,0.503,0.177303850062132,0.0194045976493965,4.689796266001708,2nd_test,667,2004.02.17.01.42.39,0.0780209084587985,0
-0.00146591796875,0.1059492402719169,0.1059593810367326,-0.53,0.527,1.057,0.8544294796051406,-0.0228236165849396,5.001916723270254,-0.0014310058593749,0.0932299284361776,0.0932409101949588,-0.647,0.454,1.101,0.274546626197254,0.103682316459426,6.939014201386912,-0.00236494140625,0.1003108679841758,0.1003387421866237,-0.769,0.676,1.445,1.3671030342176618,-0.0228327175413846,7.66403866775651,-0.003010595703125,0.057722388683328,0.057800846376129,-0.239,0.242,0.481,0.0480781151133444,0.0010833893145142,4.186789903058508,2nd_test,657,2004.02.17.00.02.39,0.0794547408884287,1
-0.002728662109375,0.2592280876459518,0.2592424483403217,-1.301,1.067,2.368,0.1682813727891927,-0.0859534587024061,5.018468265224404,-0.00172939453125,0.1723178355268224,0.1723265134739682,-0.642,0.698,1.34,0.2355209844978807,0.0791854076647212,4.050450426488725,-0.0009094726562499,0.163919556204751,0.1639220791927524,-0.701,0.74,1.4409999999999998,-0.1961628259816383,0.0277876617337915,4.514340006176566,-0.002534765625,0.110663305790052,0.1106923316456756,-0.388,0.405,0.793,-0.1538946074919227,0.0703597870103859,3.658790035182741,2nd_test,961,2004.02.19.02.42.39,0.141405318360034,1
-0.002813916015625,0.1087509769698248,0.1087873757162768,-0.542,0.461,1.003,0.832382817194703,-0.0315173082519195,4.982195741246505,-0.001699072265625,0.0969586539978603,0.0969735398530992,-0.398,0.41,0.808,0.073318565581959,0.1120126862356238,4.227957447122814,-0.0015412109375,0.1016745764341552,0.1016862568109316,-0.649,1.001,1.65,1.76232141845514,0.101723836977669,9.844004798518103,-0.0030228515625,0.0591124488302789,0.0591896886144981,-0.303,0.244,0.5469999999999999,0.0863550586368742,0.0236905704413369,5.119134887975454,2nd_test,813,2004.02.18.02.02.39,0.0801406771751266,1
-0.001525341796875,0.1207015007673095,0.1207111384880373,-0.576,0.608,1.184,0.6546762590964947,-0.0381479411691812,5.03681770887462,-0.001020263671875,0.1105311472006555,0.1105358558995818,-0.571,0.439,1.01,0.0149336795346459,0.0351347071895716,5.165744593442771,-0.000618017578125,0.1162220082965195,0.1162236514578815,-0.557,0.886,1.443,0.5747845060599737,0.0537014040892845,7.623233213537915,-0.0031586914062499,0.0674931934693701,0.0675670666530207,-0.283,0.271,0.554,0.0750221717734143,0.0216759153953268,4.188431051019427,2nd_test,900,2004.02.18.16.32.39,0.0879787279263421,1
-0.002060205078125,0.1025864214483717,0.1026071065304293,-0.535,0.486,1.021,0.8222244311026881,-0.0699468672030448,5.214063802063509,-0.001054150390625,0.0986413209689571,0.0986469535036276,-0.422,0.43,0.852,0.1700693692860597,0.1117560297365762,4.35897901276625,-0.001273828125,0.102430884274784,0.1024388046172262,-0.715,0.752,1.467,0.973405527573385,0.0316059119721756,7.3409681302177345,-0.00298447265625,0.0603422178494903,0.0604159774565573,-0.244,0.239,0.483,0.0585149476580801,0.0496538641933421,4.038666761146281,2nd_test,786,2004.02.17.21.32.39,0.0802754416762428,1
